Latitud,Longitud,Fecha,Hora,FP_TI4,FP_TI5,FP_POWER,FP_CONFIDENCE,SCAN,TRACK
-7.38324,-44.63092,2023-08-13,03:32,303.21,290.97,1.12,55,0.6,0.7
-7.38489,-44.62984,2023-08-13,03:32,301.54,291.11,0.97,55,0.6,0.7
-7.38396,-44.63494,2023-08-13,03:32,311.38,290.75,0.97,55,0.6,0.7
-9.31808,-45.05432,2023-08-13,03:32,303.77,289.55,1.36,55,0.59,0.7
-7.94855,-44.87526,2023-08-13,03:32,351.6,293.15,3.75,55,0.61,0.71
-7.94301,-44.86872,2023-08-13,03:32,309.92,290.66,3.75,55,0.61,0.71
-7.94192,-44.87435,2023-08-13,03:32,315.15,291.77,3.75,55,0.61,0.71
-7.95104,-44.87443,2023-08-13,03:32,338.79,291.81,5.68,55,0.61,0.71
-7.95,-44.88002,2023-08-13,03:32,322.77,291.74,5.68,55,0.61,0.71
-7.94443,-44.87339,2023-08-13,03:32,337.03,292.75,5.68,55,0.61,0.71
-7.89486,-44.60062,2023-08-13,03:32,303.07,292.39,1.64,55,0.58,0.7
-7.8884,-44.59936,2023-08-13,03:32,309.54,293.31,1.64,55,0.58,0.7
-7.881,-44.60298,2023-08-13,03:32,303.62,292.01,1.77,55,0.58,0.7
-14.65442,-42.45659,2023-08-13,03:32,298.2,287.04,0.52,55,0.32,0.54
-14.64941,-42.4555,2023-08-13,03:32,302.15,286.73,0.52,55,0.32,0.54
-13.17887,-46.98221,2023-08-13,03:32,327.98,290.08,5.34,55,0.66,0.73
-13.17207,-46.98077,2023-08-13,03:32,367.0,295.34,31.18,90,0.66,0.73
-13.17822,-46.98408,2023-08-13,03:32,324.54,289.93,11.63,55,0.67,0.73
-13.17273,-46.97644,2023-08-13,03:32,306.24,290.49,11.63,55,0.66,0.73
-13.17143,-46.98261,2023-08-13,03:32,367.0,296.01,11.63,90,0.67,0.73
-13.08912,-45.42231,2023-08-13,03:32,296.73,285.98,1.05,55,0.53,0.67
-13.08291,-45.42094,2023-08-13,03:32,306.68,286.52,1.05,55,0.53,0.67
-13.08569,-45.42161,2023-08-13,03:32,318.67,286.56,2.21,55,0.53,0.67
-13.08734,-45.19197,2023-08-13,03:32,298.71,286.51,0.96,55,0.51,0.66
-13.0864,-45.19659,2023-08-13,03:32,317.69,286.99,4.29,55,0.51,0.66
-13.08545,-45.20119,2023-08-13,03:32,335.86,288.77,4.29,55,0.51,0.66
-13.31644,-43.97016,2023-08-13,03:32,298.34,288.0,1.14,55,0.42,0.61
-13.31564,-43.97414,2023-08-13,03:32,312.08,288.31,2.53,55,0.42,0.61
-13.31076,-43.96904,2023-08-13,03:32,311.58,289.34,1.14,55,0.42,0.61
-13.30997,-43.97299,2023-08-13,03:32,322.35,290.61,2.53,55,0.42,0.61
-13.02865,-45.32098,2023-08-13,03:32,305.43,286.8,6.04,55,0.52,0.67
-13.02762,-45.32594,2023-08-13,03:32,338.78,288.42,5.89,55,0.53,0.67
-13.0266,-45.33089,2023-08-13,03:32,337.25,289.06,5.89,55,0.53,0.67
-13.02452,-45.30978,2023-08-13,03:32,303.25,286.31,3.21,55,0.52,0.67
